Timestamp,mempool-size
2017-04-26 21:45:00,30601324.895833332
2017-04-28 14:00:00,38275139.223958336
2017-04-30 06:15:00,24862631.916666668
2017-05-01 22:30:00,12937747.489583334
2017-05-03 14:45:00,36144455.520833336
2017-05-05 07:00:00,58148535.239583336
2017-05-06 23:15:00,75234673.35416667
2017-05-08 15:30:00,50200662.692708336
2017-05-10 07:45:00,65575403.046875
2017-05-12 00:00:00,103858702.84375
2017-05-13 16:15:00,103028083.99479167
2017-05-15 08:30:00,86376267.98958333
2017-05-17 00:45:00,107672981.55729167
2017-05-18 17:00:00,99371177.54166667
2017-05-20 09:15:00,96389475.68229167
2017-05-22 01:30:00,101290208.34895833
2017-05-23 17:45:00,109469649.49479167
2017-05-25 10:00:00,105459189.24479167
2017-05-27 02:15:00,108322047.703125
2017-05-28 18:30:00,97821256.46354167
2017-05-30 10:45:00,93940460.66145833
2017-06-01 03:00:00,98970402.90104167
2017-06-02 19:15:00,101030492.171875
2017-06-04 11:30:00,91818225.09895833
2017-06-06 03:45:00,67429024.77604167
2017-06-07 20:00:00,71383479.74479167
2017-06-09 12:15:00,54708918.4375
2017-06-11 04:30:00,49407084.161458336
2017-06-12 20:45:00,42728176.395833336
2017-06-14 13:00:00,58418861.473958336
2017-06-16 05:15:00,54761237.302083336
2017-06-17 21:30:00,41547469.307291664
2017-06-19 13:45:00,18741166.619791668
2017-06-21 06:00:00,19917645.760416668
2017-06-22 22:15:00,29222846.697916668
2017-06-24 14:30:00,14829110.567708334
2017-06-26 06:45:00,13702414.8125
2017-06-27 23:00:00,18936521.557291668
2017-06-29 15:15:00,15871390.4375
2017-07-01 07:30:00,15754710.515625
2017-07-02 23:45:00,5594409.130208333
2017-07-04 16:00:00,6582926.177083333
2017-07-06 08:15:00,14415490.651041666
2017-07-08 00:30:00,18470790.286458332
2017-07-09 16:45:00,4463872.395833333
2017-07-11 09:00:00,15958048.458333334
2017-07-13 01:15:00,16164784.046875
2017-07-14 17:30:00,28937984.765625
2017-07-16 09:45:00,32850085.489583332
2017-07-18 02:00:00,32103687.723958332
2017-07-19 18:15:00,35202018.453125
2017-07-21 10:30:00,38433137.411458336
2017-07-23 02:45:00,18065407.848958332
2017-07-24 19:00:00,15784606.744791666
2017-07-26 11:15:00,25088566.661458332
2017-07-28 03:30:00,6211532.026041667
2017-07-29 19:45:00,5153384.015625
2017-07-31 12:00:00,3355054.671875
2017-08-02 04:15:00,5296733.645833333
2017-08-03 20:30:00,8924909.828125
2017-08-05 12:45:00,17953776.328125
2017-08-07 05:00:00,4331238.640625
2017-08-08 21:15:00,36629371.276041664
2017-08-10 13:30:00,43722493.723958336
2017-08-12 05:45:00,54139031.364583336
2017-08-13 22:00:00,23679201.453125
2017-08-15 14:15:00,46695067.119791664
2017-08-17 06:30:00,60667654.979166664
2017-08-18 22:45:00,48131982.572916664
2017-08-20 15:00:00,44312369.953125
2017-08-22 07:15:00,65325744.557291664
2017-08-23 23:30:00,83992668.45833333
2017-08-25 15:45:00,89029424.72395833
2017-08-27 08:00:00,91895852.84895833
2017-08-29 00:15:00,65547835.786458336
2017-08-30 16:30:00,17967164.661458332
2017-09-01 08:45:00,22647285.380208332
2017-09-03 01:00:00,7173675.322916667
2017-09-04 17:15:00,8028294.8125
2017-09-06 09:30:00,5422053.317708333
2017-09-08 01:45:00,8316375.890625
2017-09-09 18:00:00,6948808.53125
2017-09-11 10:15:00,6549114.989583333
2017-09-13 02:30:00,4852789.520833333
2017-09-14 18:45:00,8261894.432291667
2017-09-16 11:00:00,6871190.21875
2017-09-18 03:15:00,4960400.135416667
2017-09-19 19:30:00,15362203.296875
2017-09-21 11:45:00,8548126.197916666
2017-09-23 04:00:00,6751534.901041667
2017-09-24 20:15:00,5268422.515625
2017-09-26 12:30:00,12785495.401041666
2017-09-28 04:45:00,7709049.59375
2017-09-29 21:00:00,6598133.484375
2017-10-01 13:15:00,9910378.322916666
2017-10-03 05:30:00,15266219.119791666
2017-10-04 21:45:00,10427328.859375
2017-10-06 14:00:00,12472021.526041666
2017-10-08 06:15:00,8869002.682291666
2017-10-09 22:30:00,8446878.40625
2017-10-11 14:45:00,13577468.364583334
2017-10-13 07:00:00,18287223.541666668
2017-10-14 23:15:00,30925575.145833332
2017-10-16 15:30:00,8960437.708333334
2017-10-18 07:45:00,9536061.057291666
2017-10-20 00:00:00,24776527.526041668
2017-10-21 16:15:00,34660285.598958336
2017-10-23 08:30:00,34238514.885416664
2017-10-25 00:45:00,43019099.901041664
2017-10-26 17:00:00,361635.7395833333
2017-10-28 09:15:00,33084164.625
2017-10-30 01:30:00,25362627.817708332
2017-10-31 17:45:00,20938831.307291668
2017-11-02 10:00:00,44646595.588541664
2017-11-04 02:15:00,59852691.463541664
2017-11-05 18:30:00,44952829.072916664
2017-11-07 10:45:00,50043435.770833336
2017-11-09 03:00:00,52085794.666666664
2017-11-10 19:15:00,70739981.08333333
2017-11-12 11:30:00,109859590.109375
2017-11-14 03:45:00,102022264.671875
2017-11-15 20:00:00,104191180.203125
2017-11-17 12:15:00,94461840.625
2017-11-19 04:30:00,89424888.765625
2017-11-20 20:45:00,62991499.432291664
2017-11-22 13:00:00,68237510.88541667
2017-11-24 05:15:00,69265177.953125
2017-11-25 21:30:00,63717047.171875
2017-11-27 13:45:00,61458862.526041664
2017-11-29 06:00:00,82429350.36458333
2017-11-30 22:15:00,103907226.97916667
2017-12-02 14:30:00,92235625.09895833
2017-12-04 06:45:00,81429181.11979167
2017-12-05 23:00:00,85424665.34375
2017-12-07 15:15:00,111484950.19791667
2017-12-09 07:30:00,84188312.234375
2017-12-10 23:45:00,74732146.640625
2017-12-12 16:00:00,121686021.23958333
2017-12-14 08:15:00,114631249.23958333
2017-12-16 00:30:00,107584435.76041667
2017-12-17 16:45:00,108613632.28125
2017-12-19 09:00:00,109743881.03125
2017-12-21 01:15:00,105624558.80208333
2017-12-22 17:30:00,100702253.72395833
2017-12-24 09:45:00,118556774.42708333
2017-12-26 02:00:00,120341176.49479167
2017-12-27 18:15:00,114456918.64583333
2017-12-29 10:30:00,112025435.18229167
2017-12-31 02:45:00,110288529.65104167
2018-01-01 19:00:00,113637916.08854167
2018-01-03 11:15:00,118225899.02083333
2018-01-05 03:30:00,116160463.90104167
2018-01-06 19:45:00,104359577.30729167
2018-01-08 12:00:00,107662530.140625
2018-01-10 04:15:00,132961747.96875
2018-01-11 20:30:00,136117540.96875
2018-01-13 12:45:00,131386619.5
2018-01-15 05:00:00,122728272.32291667
2018-01-16 21:15:00,55701172.421875
2018-01-18 13:30:00,117367715.109375
2018-01-20 05:45:00,106711574.43229167
2018-01-21 22:00:00,108142185.74479167
2018-01-23 14:15:00,118463039.84375
2018-01-25 06:30:00,119452350.79166667
2018-01-26 22:45:00,102811300.1875
2018-01-28 15:00:00,84270119.0625
2018-01-30 07:15:00,52024567.75
2018-01-31 23:30:00,51139543.359375
2018-02-02 15:45:00,51475644.03125
2018-02-04 08:00:00,40917436.421875
2018-02-06 00:15:00,17450731.265625
2018-02-07 16:30:00,28492394.822916668
2018-02-09 08:45:00,21729429.369791668
2018-02-11 01:00:00,33187091.494791668
2018-02-12 17:15:00,25383414.177083332
2018-02-14 09:30:00,25908387.822916668
2018-02-16 01:45:00,9303492.911458334
2018-02-17 18:00:00,29488129.020833332
2018-02-19 10:15:00,34682921.567708336
2018-02-21 02:30:00,13440329.697916666
2018-02-22 18:45:00,10202940.25
2018-02-24 11:00:00,36924614.109375
2018-02-26 03:15:00,5182589
2018-02-27 19:30:00,77453816.22916667
2018-03-01 11:45:00,39756392.375
2018-03-03 04:00:00,11505370.796875
2018-03-04 20:15:00,29888046.515625
2018-03-06 12:30:00,25786431.4375
2018-03-08 04:45:00,20493910.078125
2018-03-09 21:00:00,16940264.786458332
2018-03-11 13:15:00,12911230.083333334
2018-03-13 05:30:00,2145547.5416666665
2018-03-14 21:45:00,854827.6458333334
2018-03-16 14:00:00,1109344.46875
2018-03-18 06:15:00,542796.0416666666
2018-03-19 22:30:00,935210.46875
2018-03-21 14:45:00,1048095.921875
2018-03-23 07:00:00,1240051.9583333333
2018-03-24 23:15:00,649183.8385416666
2018-03-26 15:30:00,1928339.9166666667
2018-03-28 07:45:00,3160225.3072916665
2018-03-30 00:00:00,898042.4322916666
2018-03-31 16:15:00,1251363.703125
2018-04-02 08:30:00,637566.1979166666
2018-04-04 00:45:00,1098491.140625
2018-04-05 17:00:00,798080.1614583334
2018-04-07 09:15:00,3178229
2018-04-09 01:30:00,418514.8385416667
2018-04-10 17:45:00,1050836.3072916667
2018-04-12 10:00:00,1115387.921875
2018-04-14 02:15:00,1873936.4270833333
2018-04-15 18:30:00,11705947.489583334
2018-04-17 10:45:00,4208464.692708333
2018-04-19 03:00:00,770284.7708333334
2018-04-20 19:15:00,1378758.6927083333
2018-04-22 11:30:00,1262099.2864583333
2018-04-24 03:45:00,1190371.46875
2018-04-25 20:00:00,5844928.088541667
2018-04-27 12:15:00,2026105.0677083333
2018-04-29 04:30:00,1896798.5989583333
2018-04-30 20:45:00,989812.9895833334
2018-05-02 13:00:00,1107579.34375
2018-05-04 05:15:00,6819377.822916667
2018-05-05 21:30:00,1462442.2239583333
2018-05-07 13:45:00,1593934.4270833333
2018-05-09 06:00:00,2187158.09375
2018-05-10 22:15:00,878691.8177083334
2018-05-12 14:30:00,6902346.1875
2018-05-14 06:45:00,1263584.875
2018-05-15 23:00:00,1751862.015625
2018-05-17 15:15:00,1294864.6458333333
2018-05-19 07:30:00,1249354.0833333333
2018-05-20 23:45:00,538077.34375
2018-05-22 16:00:00,1131540.9791666667
2018-05-24 08:15:00,884455.3645833334
2018-05-26 00:30:00,1506462.7708333333
2018-05-27 16:45:00,478416.0833333333
2018-05-29 09:00:00,1196446.1666666667
2018-05-31 01:15:00,658437.921875
2018-06-01 17:30:00,1339313.3333333333
2018-06-03 09:45:00,923109.4322916666
2018-06-05 02:00:00,23632480.458333332
2018-06-06 18:15:00,10569133.348958334
2018-06-08 10:30:00,25471635.447916668
2018-06-10 02:45:00,843678.1822916666
2018-06-11 19:00:00,1639945.2916666667
2018-06-13 11:15:00,10310656.90625
2018-06-15 03:30:00,1564049.0885416667
2018-06-16 19:45:00,495995.0885416667
2018-06-18 12:00:00,504749.6614583333
2018-06-20 04:15:00,4007615.9583333335
2018-06-21 20:30:00,1858285.5416666667
2018-06-23 12:45:00,2043413.3125
2018-06-25 05:00:00,645590.78125
2018-06-26 21:15:00,11495686.307291666
2018-06-28 13:30:00,9076591.770833334
2018-06-30 05:45:00,910281.28125
2018-07-01 22:00:00,848153.7552083334
2018-07-03 14:15:00,19126047.989583332
2018-07-05 06:30:00,1106655.2760416667
2018-07-06 22:45:00,911920.1979166666
